SITEID,Name,Description,AWRC,StateID
BARLMWR,Part of Torrumbarry Returns,Torrumbarry Returns Less KERANGW +KOONDSP,,
BARM2WJ,can be deleted 29/9/05,YAN IS TESTING TO ADD THIS SITE INTO HYDRO,,
BARMAH,River Murray @ Barmah,,409215B,4.0
BARMERA,Barmera,Barmera - Riverland System,,
BARMET,Barmera,,24001,
BARMILL,Barmah-Millewa Forest,Barmah-Millewa Forest,,4.0
BARMILN,NSW Barmah-Millewa EWA,NSW share of the Barmh-Millewa Account,,
BARMILV,VIC share of Barmah-Millewa EWA,Victorian share of the Barmh-Millewa Account,,
BARMWTP,Barmera Water Treatment Plant,,,
BARNXNY,Vic Barmah to Nyah �exc. Nyah Pumps,Victorian Barmah to Nyah diversions excluding Nyah Pumps,,4.0
BARNYAH,Barmah to Nyah - Murray River,Barmah to Nyah - Murray River,,4.0
8BAROOG,Macquarie River @ Baroona,,421127,2.0
BAROONA,Macquarie River @ Baroona,,421127,2.0
9GSPRES,Barwon River u/s Presbury Weir,Barwon River u/s Presbury Weir,416050,2.0
BARPRES,Barwon River u/s Presbury Weir,Barwon River u/s Presbury Weir,416050,2.0
BARRAGE,Barrages near the Murray Mouth,,,5.0
BARRASP,Airspace in Barr Creek Disposal Basins,,,4.0
BARRATT,Edward River D/S of Barratta.,Edward River Downstream of Barratta.,,2.0
BARRCK,Barr Creek D/S of Pumps,,,4.0
BARREVB,Barr Creek Evaporation Basins,,,4.0
BARRFSH,Total Fishways at Barrages,Agrregate of all barrage fishways,,
423003_,Warrego @ Barringun No 2,BSMS EOV target site,423004,1.0
BARRMCM,Barr Creek @ McMillans Rd,,407299,4.0
BARRMD,Barr Main Drain D/S Drain 20,,407730,4.0
BARRPUM,Pumping From Barr Creek to Evap Basins,,,4.0
BARRSCW,Barr Creek @ Schwenkes Rd,BARR CREEK AT SCHWENKES RD,407283,4.0
BARSTP,Barmera STP,,,5.0
BASIN,Total Murray-Darling Basin,,,
BASINSM,Murray-Darling Basin plus Snowy Scheme,,,
BASINUS,New South Wales and Victoria,,,
BATSTP,Bathurst STP,,,2.0
BBDOF,Back Barooga Drain (BBRI),,,2.0
BCKATBB,Bogandillon Creek @ Birrak bridge,,,2.0
BCKRWDO,Broken Creek at Rice's Weir deemed irrigation retu,,,4.0
BDGRWP,Bendigo RWP,,,4.0
BECTIVE,Peel River @ Bective,Peel River @ Bective,419074,1.0
9GSBEEM,Barwon River @ Beemery (u/s Culgoa Junction),,422028,2.0
BEEMERY,Barwon River @ Beemery (u/s Culgoa Junction),,422028,2.0
BELLFIE,Lake Bellfields - Wimmera Mallee,,,4.0
BELNEW,Bell River @ Newrea,Bell River @ Newrea,421018,2.0
BELTONS,Beltons,Hattah Lakes System - manual data collection in the lakes,,
BELUBUL,Belubul portion of Lachlan valley,,,
BENALPD,Benalla PD Licence,Benalla PD Licence (Broken River),,4.0
BENAMET,Benalla Metering Station,Benalla Metering Station,82002,4.0
BENDORA,Bendora Dam,Bendora Dam,,1.0
BENJER,Loddon River @ Benjroop,,,4.0
BENSTP,Benalla STP,,,4.0
BERDROP,Berrigan Channel @ The Drop,Berrigan Channel at The Drop,409064,2.0
BERQDRN,Berriquin LWMP Drains,Berriquin LAND AND WATER MANAGEMENT PLAN Drains - Replaced Lalalty Drain,,2.0
BERRESC,Berrigan Ck escape D/S Coree 10 Esc and D/S bridge,Berrigan Ck escape D/S Coree 10 Escape and D/S bridge,41010396,2.0
BERRI,River Murray @ Berri Irrigation Pumps,,426537,5.0
BERRINM,Cudgewa Creek @ Berringama,,401208A,4.0
BERRMET,Berri Post Office Meterological Station,Berri Post Office Meterological Station - Rainfall Only,24025,5.0
BERRSTP,Berrigan STP,,,2.0
BERRWTP,Berri Water Treatment Plant,,,
BERSTP,Berri STP,,,5.0
BFDSTP,Broadford STP,,,4.0
BGA1DOF,Browns Drain 2 Brown's Group Drainage Area,URS Project for Cap - Returns Flow Investigation,,4.0
BGIFPWO,Lake Boga Inflow from Little Murray,Lake Boga Inflow from Little Murray when Fishpoint Weir open,,4.0
BGOFPWO,Lake Boga Outfalls with FP Weir open,Fish Point Weir Open,,4.0
BGTSTP,Bright STP,,,4.0
BIBEESC,Berrigan Escape,Berrigan Escape Flow to Billabong Ck,41010110,2.0
BIGGARA,River Murray at Biggara,,401012,4.0
BIGWCUT,Big Woodcutter Lagoon River Regulator,River Regulator settings - Murray River - Barmah forest - VIC National Parks,,4.0
BIGWNSW,Big Warrambool River in NSW,,,2.0
BIJIJ07,Menindee Lakes at Lake Bijijie Sample Site 7,See WRC Menindee Lakes Storages map - Menindee Lakes at Lake Bijijie Sample Site 7,42510007,2.0
BILALGW,Billabong Creek @ Algudgerie Weir (DWR),Billabong Creek @ Algudgerie Weir D/S FROM BERRIGAN CREEK,,2.0
BILFINE,Finley Escape (DWR),FINLEY ESCAPE NORTH OF HOLDING REFERENCE 797/D (DWR),,2.0
BILWANG,Wangamon Creek @ South Coree Road (DWR),,,2.0
BILWOLL,WOLLAMAI ESCAPE (DWR),WOLLAMAI ESCAPE NORTH OF HOLDING REFERENCE 764 (DWR),,2.0
BINSTP,Bingara STP,,,2.0
BIRCMET,Birchip (Birchip Reservoir) BOM Station,,77088,4.0
BITTTRK,Bitterang Track - Hattah Lakes,Bitterang track alomg lake Bitterang - Sampled in the lake,,
BJRESC,No 4 Benjeroop,,,4.0
BLACKDG,Black Dog Creek US Dugays Bridge,Black Dog Creek US Dugays Bridge,,
BLALAGO,Blackgate Lagoon Outlet,Millewa monitoring site,,
BLANCHE,Blanchetown,Blanchetown - Mallee Region,,
BLANK,Null,,,
BLCKREG,Black Swamp River Regulator,River Regulator settings - Edward River - NSW National Parks,,2.0
BLINE,Upper Lindsay River at B. Line,,414213,4.0
BLOWERI,Blowering Reservoir,,,2.0
BLSWRDS,Black Swamp Regulator D/S,Millewa monitoring site,,
BMDRLOF,Bamawn Main Drain @ Richardson Lagoon Outfall,,,4.0
BOALSCK,Boals Creek River Regulator,River Regulator settings - Murray River - Barmah forest - VIC National Parks,,4.0
BOBEDOF,Boundary Bend Drainage Line 7/1,,,4.0
BOGA,Lake Boga,,,4.0
BOGABIL,MACINTYRE RIVER - BOGGABILLA,,416002,1.0
BOGAHED,Diversions from Lake Boga Headworks,From old RMC MDBC Annual Reports,,
BOGAIN,Inflow to Lake Boga from Little Murray,,,4.0
BOGAOUT,Outflow From Lake Boga to Little Murray,,,4.0
BOGSTP,Boggabri STP,,,2.0
BOHNEW,Bohena Creek @ Newell Highway,Bohena Creek @ Newell Highway,419905,2.0
BOKHARA,Bokhara River at Bokhara (Goodwins),See Qcode comments for measurand 1,422005,2.0
422005_,Bokhara River at Bokhara (Goodwins),See Qcode comments for measurand 1,422005,2.0
BOKHBOR,Bokhara River at Border,,,
BOKHEOS,Bokhara River at Barwon,,,
BOKHGOO,Bokhara River at Goodooga,,422032,2.0
BONNBDG,Lake Bonney Nap Bridge,,,5.0
BONNERS,Bonners River Regulator,River Regulator settings - Edward River - NSW National Parks,,2.0
BONNEY,Lake Bonney at South Side Jetty,,4260596,5.0
BONNRDS,Bonners Regulator D/S,Millewa monitoring site,,
BOOKPUR,Bookpurnong Bank On Wetland Side,Bookpurnong Bank On Wetland Side,A4261084,5.0
BOOKSIS,Bookpurnong Salt Interception Scheme,Salt inflow from reach currently controlled by Salt,,
10BOOLG,Lachlan River at Booligal,,412005,2.0
BOOLIGA,Lachlan River at Booligal,,412005,2.0
BOOLOOR,Gwydir River d/s Boolooroo Weir,Gwydir River d/s Boolooroo Weir,418036,2.0
BOORTOK,"BOORT OUTFALL 1/2/2, KINYPANIEL CK","BOORT OUTFALL 1/2/2, KINYPANIEL CK",407765,4.0
BOORTOY,"BOORT OUTFALL 5/2, LAKE YANDO","BOORT OUTFALL 5/2, LAKE YANDO",407764,4.0
BOOSTP,Boorowa STP,,,2.0
BORDDOF,Boronia Deep Drain,,,2.0
BORDERM,Upper Section - Border Rivers QLD,Upper Section - Border Rivers QLD,,
BORDRRN,Border Rivers System - New South Wales,,,2.0
BORDRRQ,Border Rivers Cap Valley - Queensland,"Border Rivers Cap Valley - Queensland - includes Border River, Weir River and Macintyre Brook",,1.0
BORDRV,Border Rivers in Queensland,Border Rivers excluding Weir river in Queensland in Border River System,,1.0
9GSBOOR,Barwon River @ Boorooma (u/s Macquarie Junction),,422026,2.0
BOROMA,Barwon River @ Boorooma (u/s Macquarie Junction),,422026,2.0
BORWEIR,Border Rivers including Weir River in QLD,Border Rivers including Weir River in Border River System Queensland,,1.0
BOUBEND,River Murray at Boundary Bend,,414201B,2.0
BOUNDCK,Lake Alexandrina U/S Boundary Ck Barrage,,,5.0
BOUNDDS,Boundary Creek D/S Boundary Creek Barrage,Boundary Creek downstream Boundary Creek Barrage,A4261044,5.0
9GSBOUR,Darling River at Bourke,,425003,2.0
BOURKE,Darling River at Bourke,,425003,2.0
BOWKILN,Bowls Kiln,Millewa monitoring site,,
BOWLERS,Mitta Mitta River at Bowlers Lane,,401222,
BOXBARR,Box Creek at Barratta Dam,,409059,2.0
BOXBD,BLIGHTY RETREAT DC HR 535 (DWR),,,2.0
BOXBLI,Box Creek @ Blighty Deniliquin Road,,409057,2.0
BOXBR,BOX CK. BROUGHANS RD. NTH HR 407 (DWR),,,2.0
BOXCON,Box Creek at Conargo Road,Box Creek at Conargo Road.,409058,2.0
BOXCREG,BOX CK REGULATOR - KOW SWAMP INTO BOX CK,,,2.0
BOXESC,Box Creek Escape,,,2.0
BOXFR,BOX CK. FULLERS RD. NTH HR 425/E (DWR),,,2.0
BOXHR,BOX CREEK AT HOGANS RD. WEST HR 409 DWR,,,2.0
BOXJR,BOX CREEK JAMES RD. WEST HR 441 (DWR),,,2.0
BOXLR,BOX CK. AT LAWLORS RD. WEST HR 223 (DWR),,,2.0
BOXMA,MOONEY SWAMP DC AVALON RD HR 597/D (DWR),,,2.0
BOXMS,BOX CREEK MOONEY SWAMP RD (DWR),,,2.0
BOXNH,BOX CREEK AT NEWELL HIGHWAY (DWR),,,2.0
BOXPR,BOX CREEK PYLES RD. HR 818 (DWR),,,2.0
BOXTR,BOX CK. TUPPAL RD. WEST HR 444 (DWR),,,2.0
BOXWC,WOODBURY CENTRE DC HR 589/J (DWR),,,2.0
BOXWH,BOX CREEK WEST HR 544 (DWR),,,2.0
BOXWN,WOODBURY NORTH DC HR 597/A (DWR),,,2.0
BOXWPD,BOX CREEK WOODBURY PRIVATE DRAIN (DWR),,,2.0
BOXWS,WOODBURY STH DC JUNCTION BOX CK (DWR),,,2.0
BOXXH,BOX CREEK HAY ROAD (DWR),,,2.0
BOXXN,BOX CREEK NESBITS LANE (DWR),,,2.0
BOXXO,Box Creek at Moora Park (Oro Road),Box Creek at Moora Park (Oro Road),409090,4.0
6BRAGCG,Gwydir River at Brageen Crossing,Gwydir River @ Brageen Crossing,418053,2.0
BRAGEEN,Gwydir River at Brageen Crossing,Gwydir River @ Brageen Crossing,418053,2.0
BRANDYW,BRANDY LAKE DRAIN AT WANDELLA RD,BRANDY LAKE DRAIN AT WANDELLA RD,407755,4.0
BRASSI,Wakool River @ Brassi Road,,409088,4.0
BRCUTDS,Barham Cutting D/S (river side),Gunbower Forest - VIC National Parks,,
BREMBAR,Bremer River at Ballandown Road,,A4261072,5.0
BREMBLR,Bremer River at Bletchley Road,,A4261070,5.0
BREMHAR,Bremer River near Hartley,,A4260533,5.0
BREMLAK,Mount Barker Creek U/S Bremer River Confluenc,,A4260679,5.0
BREMLHC,Bremer River at Langhorne Creek,,A4260696,5.0
BREMMBC,Bremer River U/S Mount Barker Confluence,Bremer River upstream Mount Barker Confluence,A4260688,5.0
BREMRIV,Bremer,,,
BREMWAR,Bremer River U/S Wandstead Road,Bremer River us Wandstead Road,A4261173,5.0
