planning_unit_name,LTWPShortName,env_obj,Specific_goal,Objective,Target,state,SWSDLName
Mungindi to Boomi River Confluence,Barwon-Darling,NF3,purple- spotted gudgeon1,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF3,Southern purple-spotted gudgeon,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF4,golden perch,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF4,silver perch,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF4,spangled perch,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF4,Hyrtl-s tandan,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF5,Murray cod,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF5,trout cod,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF5,Macquarie perch,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF5,northern river blackfish,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF5,long-finned eel,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF5,river blackfish,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF5,two-spined blackfish,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF5,freshwater catfish (eel-tailed catfish),Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF5,Murray crayfish,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF5,southern pygmy perch,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF5,purple-spotted gudgeon,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF5,olive perchlet,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF5,Southern purple-spotted gudgeon,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF6,golden perch,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF6,Murray cod,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF7,flathead galaxias,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF7,Murray hardyhead,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF7,southern pygmy perch,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF7,olive perchlet,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF7,purple-spotted gudgeon,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF8,trout cod,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF8,Macquarie perch,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF8,freshwater catfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF8,two-spined blackfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF8,Murray crayfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF8,purple-spotted gudgeon,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF8,olive perchlet,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF8,freshwater catfish (eel-tailed catfish),Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF8,river blackfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NF9,Hyrtl-s tandan,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,EF3a,Dispersal & migration,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Priority ecosystem function,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB5,All waterbird species,Maintain the extent & improve condition of waterbird habitats,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,EF3b,,Provide movement and dispersal opportunities catchments for water-dependent biota to complete lifecycles and disperse into new habitats between catchments,Priority ecosystem function,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,EF4,Aquatic productivity (Primary & Secondary),Support instream & floodplain productivity,Priority ecosystem function,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,EF4,Terrestrial productivity,Support instream & floodplain productivity,Priority ecosystem function,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,EF4,Decompsition,Support instream & floodplain productivity,Priority ecosystem function,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,EF5,Abiotic transportation,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Priority ecosystem function,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,EF6,Groundwater,Support groundwater conditions to sustain groundwater dependent biota,Priority ecosystem function,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,EF7,Flow regulation,Increase the contribution of flows into the South Australian lower Murray River,Priority ecosystem function,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NV2,,Maintain or increase the extent and maintain the viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native vegetation,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB2,All waterbird species,Increase total waterbird abundance across all functional groups,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NV4d,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains (Coolibah woodland),Native vegetation,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NV4c,Black box woodland,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains (Black box woodland),Native vegetation,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB3,Waterfoul,Increase opportunities for non-colonial waterbird breeding,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB3,Grebes,Increase opportunities for non-colonial waterbird breeding,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB3,Crakes,Increase opportunities for non-colonial waterbird breeding,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB3,Rails/waterhens,Increase opportunities for non-colonial waterbird breeding,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB3,Resident Shorebirds,Increase opportunities for non-colonial waterbird breeding,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB4,Pelicans,Increase opportunities for colonial waterbird breeding,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB4,Cormorants,Increase opportunities for colonial waterbird breeding,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB4,Darters,Increase opportunities for colonial waterbird breeding,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB4,Ibis,Increase opportunities for colonial waterbird breeding,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB4,Egrets,Increase opportunities for colonial waterbird breeding,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB4,Heron,Increase opportunities for colonial waterbird breeding,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,WB4,Spoonbills,Increase opportunities for colonial waterbird breeding,Waterbird,NSW,Barwon-Darling Watercourse
Mungindi to Boomi River Confluence,Barwon-Darling,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains (Lignum shrublands),Native vegetation,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF1,All recorded fish species,No loss of native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,EF1,Refugia,Provide & protect a diversity of refugia across the landscape,Priority ecosystem function,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,EF2,Habitat,"Create quality instream, floodplain & wetland habitat",Priority ecosystem function,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF2,Australian smelt,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF2,carp gudgeon (species complex),Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF2,flat-headed gudgeon,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF2,dwarf flat-headed gudgeon,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF2,bony herring,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF2,Murray-Darling rainbowfish,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF2,unspecked hardyhead,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF2,mountain galaxias (species complex),Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF2,climbing galaxias,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF2,Stocky galaxias,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF3,southern pygmy perch1,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF3,Murray hardyhead,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF3,olive perchlet,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF3,flathead galaxias,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF3,purple- spotted gudgeon1,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF3,Southern purple-spotted gudgeon,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF4,golden perch,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF4,silver perch,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF4,spangled perch,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF4,Hyrtl-s tandan,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF5,Murray cod,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF5,trout cod,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF5,Macquarie perch,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF5,northern river blackfish,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF5,long-finned eel,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF5,river blackfish,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF5,two-spined blackfish,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF5,freshwater catfish (eel-tailed catfish),Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF5,Murray crayfish,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF5,southern pygmy perch,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF5,purple-spotted gudgeon,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF5,olive perchlet,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF5,Southern purple-spotted gudgeon,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF6,golden perch,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF6,Murray cod,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF7,flathead galaxias,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF7,Murray hardyhead,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF7,southern pygmy perch,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF7,olive perchlet,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF7,purple-spotted gudgeon,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF8,trout cod,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF8,Macquarie perch,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF8,freshwater catfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF8,two-spined blackfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF8,Murray crayfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF8,purple-spotted gudgeon,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF8,olive perchlet,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF8,freshwater catfish (eel-tailed catfish),Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF8,river blackfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NF9,Hyrtl-s tandan,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,EF3a,Dispersal & migration,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Priority ecosystem function,NSW,Barwon-Darling Watercourse
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,WB5,All waterbird species,Maintain the extent & improve condition of waterbird habitats,Waterbird,NSW,Barwon-Darling Watercourse
