planning_unit_name,LTWPShortName,env_obj,Objective,Target,state,SWSDLName
Western Gingham Floodplain,Gwydir,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Gwydir
Western Gingham Floodplain,Gwydir,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Gwydir
Western Gingham Floodplain,Gwydir,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Gwydir
Western Gingham Floodplain,Gwydir,EF6,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,Gwydir
Western Gingham Floodplain,Gwydir,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Gwydir
Western Gingham Floodplain,Gwydir,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Gwydir
Western Gingham Floodplain,Gwydir,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Gwydir
Western Gingham Floodplain,Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Function,NSW,Gwydir
Western Gwydir Floodplain,Gwydir,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Gwydir
Western Gwydir Floodplain,Gwydir,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Gwydir
Western Gwydir Floodplain,Gwydir,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Gwydir
Western Gwydir Floodplain,Gwydir,EF6,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,Gwydir
Western Gwydir Floodplain,Gwydir,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Gwydir
Western Gwydir Floodplain,Gwydir,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Gwydir
Western Gwydir Floodplain,Gwydir,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Gwydir
Western Gwydir Floodplain,Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Function,NSW,Gwydir
Carole Creek,Gwydir,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Gwydir
Carole Creek,Gwydir,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Gwydir
Carole Creek,Gwydir,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Gwydir
Carole Creek,Gwydir,EF6,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,Gwydir
Carole Creek,Gwydir,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Gwydir
Carole Creek,Gwydir,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Gwydir
Carole Creek,Gwydir,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Gwydir
Carole Creek,Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Function,NSW,Gwydir
Central Mehi,Gwydir,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Gwydir
Central Mehi,Gwydir,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Gwydir
Central Mehi,Gwydir,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Gwydir
Central Mehi,Gwydir,EF6,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,Gwydir
Central Mehi,Gwydir,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Gwydir
Central Mehi,Gwydir,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Gwydir
Central Mehi,Gwydir,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Gwydir
Central Mehi,Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Function,NSW,Gwydir
Gil Gil Creek,Gwydir,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Gwydir
Gil Gil Creek,Gwydir,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Gwydir
Gil Gil Creek,Gwydir,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Gwydir
Gil Gil Creek,Gwydir,EF6,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,Gwydir
Gil Gil Creek,Gwydir,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Gwydir
Gil Gil Creek,Gwydir,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Gwydir
Gil Gil Creek,Gwydir,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Gwydir
Gil Gil Creek,Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Function,NSW,Gwydir
Lower Mehi,Gwydir,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Gwydir
Lower Mehi,Gwydir,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Gwydir
Lower Mehi,Gwydir,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Gwydir
Lower Mehi,Gwydir,EF6,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,Gwydir
Lower Mehi,Gwydir,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Gwydir
Lower Mehi,Gwydir,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Gwydir
Lower Mehi,Gwydir,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Gwydir
Lower Mehi,Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Function,NSW,Gwydir
Cudgegong Regulated River,Macquarie-Castlereagh,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Macquarie-Castlereagh
Cudgegong Regulated River,Macquarie-Castlereagh,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Macquarie-Castlereagh
Cudgegong Regulated River,Macquarie-Castlereagh,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Macquarie-Castlereagh
Cudgegong Regulated River,Macquarie-Castlereagh,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Macquarie-Castlereagh
Cudgegong Regulated River,Macquarie-Castlereagh,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Macquarie-Castlereagh
Cudgegong Regulated River,Macquarie-Castlereagh,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Macquarie-Castlereagh
Cudgegong Regulated River,Macquarie-Castlereagh,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Function,NSW,Macquarie-Castlereagh
Burrendong Dam to Baroona,Macquarie-Castlereagh,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Macquarie-Castlereagh
Burrendong Dam to Baroona,Macquarie-Castlereagh,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Macquarie-Castlereagh
Burrendong Dam to Baroona,Macquarie-Castlereagh,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Macquarie-Castlereagh
Burrendong Dam to Baroona,Macquarie-Castlereagh,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Macquarie-Castlereagh
Burrendong Dam to Baroona,Macquarie-Castlereagh,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Macquarie-Castlereagh
Burrendong Dam to Baroona,Macquarie-Castlereagh,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Macquarie-Castlereagh
Burrendong Dam to Baroona,Macquarie-Castlereagh,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Function,NSW,Macquarie-Castlereagh
Baroona to Warren Weir,Macquarie-Castlereagh,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Macquarie-Castlereagh
Baroona to Warren Weir,Macquarie-Castlereagh,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Macquarie-Castlereagh
Baroona to Warren Weir,Macquarie-Castlereagh,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Macquarie-Castlereagh
Baroona to Warren Weir,Macquarie-Castlereagh,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Macquarie-Castlereagh
Baroona to Warren Weir,Macquarie-Castlereagh,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Macquarie-Castlereagh
Baroona to Warren Weir,Macquarie-Castlereagh,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Macquarie-Castlereagh
Baroona to Warren Weir,Macquarie-Castlereagh,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Function,NSW,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Function,NSW,Macquarie-Castlereagh
Southern Macquarie Marshes,Macquarie-Castlereagh,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Macquarie-Castlereagh
Southern Macquarie Marshes,Macquarie-Castlereagh,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Macquarie-Castlereagh
Southern Macquarie Marshes,Macquarie-Castlereagh,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Macquarie-Castlereagh
Southern Macquarie Marshes,Macquarie-Castlereagh,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Macquarie-Castlereagh
Southern Macquarie Marshes,Macquarie-Castlereagh,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Macquarie-Castlereagh
Southern Macquarie Marshes,Macquarie-Castlereagh,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Macquarie-Castlereagh
Southern Macquarie Marshes,Macquarie-Castlereagh,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Function,NSW,Macquarie-Castlereagh
Northern Macquarie Marshes,Macquarie-Castlereagh,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Macquarie-Castlereagh
Northern Macquarie Marshes,Macquarie-Castlereagh,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Macquarie-Castlereagh
Northern Macquarie Marshes,Macquarie-Castlereagh,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Macquarie-Castlereagh
Northern Macquarie Marshes,Macquarie-Castlereagh,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Macquarie-Castlereagh
Northern Macquarie Marshes,Macquarie-Castlereagh,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Macquarie-Castlereagh
Northern Macquarie Marshes,Macquarie-Castlereagh,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Macquarie-Castlereagh
Northern Macquarie Marshes,Macquarie-Castlereagh,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Function,NSW,Macquarie-Castlereagh
Eastern Macquarie Marshes,Macquarie-Castlereagh,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Macquarie-Castlereagh
Eastern Macquarie Marshes,Macquarie-Castlereagh,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Macquarie-Castlereagh
Eastern Macquarie Marshes,Macquarie-Castlereagh,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Macquarie-Castlereagh
Eastern Macquarie Marshes,Macquarie-Castlereagh,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Macquarie-Castlereagh
