Date,402203_flow,402222_flow,402205_flow,402206_flow,402204_flow,403220_flow,403227_flow,403223_flow,403230_flow,403241_flow,409017_flow
2014-07-18,2521.37,3702.51,4885.61,341.45,504.55,5580.18,3032.2,8150.42,14371.78,15241.84,4601.735
2014-07-19,2342.13,3654.13,4766.43,313.61,268.93,4858.73,2401.79,5759,12630.58,17522.29,5056.442
2014-07-20,2115.47,3181.62,4330.76,291.34,232.66,4185.78,1950.76,4168.28,10967.56,21186.74,5124.379
2014-07-21,2589.99,2910.14,3498.06,267,214.99,3650.21,1652.09,3296.91,9507.2,21994.44,4729.821
2014-07-22,2081.85,3123.6,3295.2,248.19,199.11,3202.65,1421.77,2762.35,8273.27,19594.49,4147.021
2014-07-23,1870.72,2708.23,3204.07,229.88,186.45,2832.23,1242.51,2380.16,7235.82,16767.81,3981.582
2014-07-24,1750.93,2445.98,2833.23,218.05,184.77,2544.88,1105.91,2093.74,6499.47,14172.17,3955.25
2014-07-25,1600.52,2354.05,2644.75,203.54,191.03,2364.07,1097.46,1965.86,6094,11920.26,3544.244
2014-07-26,1307.26,2114.97,2535.96,186.69,175.51,2396.62,1122.83,2016.83,5904.95,10395.04,3305.338
2014-07-27,1410.27,1883.08,2207.57,175.07,167.55,2338.7,1119.3,1944.01,5704.2,9483.01,3197.801
2014-07-28,1438.23,1930.09,2172.86,165.99,160.71,2115.95,1087.74,1833.55,5303.32,9011.22,2804.734
2014-07-29,1438.63,1900.16,2169.42,157.86,153.69,1931.32,1053.64,1721.94,4990.09,8570.67,2738.041
2014-07-30,2249.7,1868.13,2122.78,166.96,151.47,2379.6,1294.81,1888.41,6052.18,8028.92,2749.067
2014-07-31,3975.41,2790.19,2345.82,162.7,165.62,3017.16,1625.33,2571.66,7665.15,7705.82,2697.028
2014-08-01,3744.92,3660.67,3301.17,178.14,174.78,2874.25,1650.79,2639.58,7434.42,8678.55,2869.645
2014-08-02,2804.99,4082.44,3926.45,168.6,201.19,2742.02,1525.97,2644.61,7097,9855.78,3848.356
2014-08-03,2755.3,3571.79,4290.94,157.16,149.68,2513.8,1379.69,2329.23,6402.44,10377.4,4302.16
2014-08-04,2772.17,3257.77,3704.53,151.54,138.23,2355.97,1260.09,2082.93,5946.28,10293.37,4777.582
2014-08-05,2261.33,3068.41,3453.85,146.24,130.32,2200.95,1164.07,1894.01,5562.24,9668.68,4414.639
2014-08-06,2460.13,2708.72,2952.28,141.83,127.63,2058.73,1085.16,1740.43,5215.17,8935.77,4104.37
2014-08-07,1999.13,2760.99,2871.54,137.82,130.51,1932.45,1021.56,1614.92,4906.79,8276.55,3711.545
2014-08-08,2146.07,2346.97,2661.76,132.68,124.04,1808.41,958.47,1521.57,4644.95,7687.28,3555.231
2014-08-09,1702.51,2378.19,2545.31,127.43,118.03,1680.28,896.91,1419.22,4375.47,7214.96,3357.469
2014-08-10,1476.74,1993.32,2313.06,126.43,125.63,1586.18,873.11,1342.52,4190.93,6824.74,3171.489
2014-08-11,1515.69,1857.33,2082.26,118.05,119.46,1488.23,826.19,1299.29,3993.21,6455.47,2950.958
2014-08-12,1535.52,1820.31,2048.28,112.97,106.29,1363.95,766.05,1197.27,3722.6,6152,2657.763
2014-08-13,1778.32,1934.18,2000.1,107.29,100.1,1263.93,719.25,1117.45,3503.58,5832.51,2608.014
2014-08-14,1769.81,2062.96,2160.31,102.99,96.45,1187.47,680.24,1051.03,3304.16,5463.87,2567.199
2014-08-15,1397.53,2036.07,2161.32,100.88,94.63,1129.62,641.66,999.32,3152.09,5125.62,2753.388
2014-08-16,1086.78,1641.06,2002.29,99,94.65,1073.35,608.57,953.38,3006.87,4822.74,2762.57
2014-08-17,1265.32,1442.54,1687.69,100.08,100.91,1039.44,579.22,908.65,2897.46,4569.11,2627.184
2014-08-18,1425.78,1631.41,1754.78,97.35,116.56,990.11,555.62,868.82,2810.36,4361.4,2651.301
2014-08-19,1584.48,1734.6,1855.29,92,97.76,945.31,512.16,834.89,2679.08,4186.12,4810.708
2014-08-20,1961.67,1868.74,1930.19,88.51,89.11,536.97,536.25,788.72,2500.93,4020.64,7388.961
2014-08-21,1677.49,2120.81,2126.02,85.57,86.03,103.13,520.77,790.75,1775.35,3855.9,8057.402
2014-08-22,1552.49,1883.92,2085.2,83.29,83.25,101.94,463.74,743.09,1671.87,3537.18,9978.231
2014-08-23,1341.61,1760.34,1919.64,80.91,77.93,100.73,427.92,673.91,1600.27,3117.5,12200.911
2014-08-24,1301.27,1589.1,1772.6,79.03,76.36,101.65,394.22,672.26,1553.32,2904.59,13581.704
2014-08-25,1331.08,1565.14,1707.94,78.17,76.93,195.11,471.25,661.45,1548.55,2758.69,16196.646
2014-08-26,1310.35,1688.77,1704.55,75.68,74.27,310.28,385.7,653.98,1690.49,2670.84,16529.72
2014-08-27,1045.71,1407.37,1797.83,73,70.78,312.39,381.53,603.15,1653.49,2639.89,17109.139
2014-08-28,1284.48,1321.66,1424.87,70.45,68.92,519.77,380.32,586.31,1688.16,2671.92,16231.163
2014-08-29,1751.02,1556.37,1517.82,68.74,67.54,578.55,378.91,577.11,1852.57,2610.95,14981.503
2014-08-30,1536.31,1881.9,1851.74,67.34,67.03,552.81,235.25,573.54,1769.45,2631.66,14817.16
2014-08-31,1060.71,1632.06,1857,66.36,66.05,587.06,334.78,460.26,1757.57,2685.41,13663.234
2014-09-01,1080.5,1241.25,1509.38,66.85,66.21,605.39,420.71,511.86,1793.66,2637.8,12083.962
2014-09-02,1622.01,1335.8,1384.74,70.69,78.42,639.41,390.65,761.25,1982.67,2598.94,10906.512
2014-09-03,1053.97,1731.12,1755.52,64.15,70.58,635.9,381.93,654.41,1887.22,2728.66,11937.836
2014-09-04,834.2,1224.52,1537.02,62.01,64.81,656.14,375.63,591.73,1803.52,2963.25,10589.587
2014-09-05,795.65,1063.49,1289.67,60.34,62.01,587.61,320.86,564.05,1749.16,2885.77,9340.968
2014-09-06,779.02,1023.62,1216.28,58.78,59.21,553.03,158.2,480.75,1630.92,2742.15,8183.95
2014-09-07,854.28,1001.62,1185.78,57.21,57.99,553.08,241.09,348.74,1592.48,2619.15,6729.552
2014-09-08,1033.91,1079.01,1182.94,55.89,57.1,614.15,410.16,447.46,1576.13,2457.05,5761.69
2014-09-09,1816.6,1278.89,1284.94,72.95,73.39,785.63,436.59,561.54,1837.23,2315.51,6461.883
2014-09-10,3784.36,2403.71,2087.4,106.84,307.06,1735.59,587.55,1599.12,4625.81,2452.46,5259.914
2014-09-11,2950.51,3535.2,3099.4,65,117.07,1216.28,602.39,1133.49,3494.12,3806.88,4673.701
2014-09-12,2379.73,3112.12,3416.9,59.97,85.59,981.49,567.45,924.81,2918.02,5656.93,4697.162
2014-09-13,1492.15,2453.33,2794.74,57.09,73.27,907.52,549.31,835.97,2604.57,5115.51,4185.123
2014-09-14,1392.39,1679.04,2066.87,55.66,68.82,907.13,423.8,791.55,2489.65,4277.4,3537.7
2014-09-15,1612.61,1589.44,1698.55,54.63,64.91,762.21,488.83,652.08,2326.92,3798.64,2702.627
2014-09-16,1497.65,1719.83,1753.18,54.35,64.19,704.22,401.05,653.05,2126.6,3546.4,2422.064
2014-09-17,1425.51,1589.09,1757.51,55.08,62.48,781.33,399.11,619.15,2153.43,3279.94,6002.803
2014-09-18,1466.64,1544.23,1664.03,52.44,59.45,727.6,399.71,605.87,2142.49,3103.47,8725.271
2014-09-19,1497.17,1537.73,1645.44,50.94,56.83,695.18,388.99,587.31,1976.42,3043.75,10847.737
2014-09-20,1304.24,1552.42,1637.56,50.15,55.77,650.06,314.36,566.67,1911.42,2961.34,11286.832
2014-09-21,1175.29,1330.35,1540.11,49.33,53.91,586.23,321.79,479.69,1774.9,2836.37,12711.772
2014-09-22,1081.72,1251.11,1402.02,48.69,52.27,557.94,383.41,500.98,1690.83,2718.59,12295.026
2014-09-23,935.77,1145,1369.17,48.3,50.4,552.43,378.02,527.11,1629.77,2562.09,10848.269
2014-09-24,947.8,1036.98,1233.12,50.14,52.28,554.96,319.38,524.64,1614.99,2476.7,9240.254
2014-09-25,1696.57,1365.72,1677.98,79.52,302.35,725.46,369.24,518.8,2277.1,2574.61,7660.26
2014-09-26,1618.46,2038.03,2286.61,54.88,140.89,618.35,311.86,592.79,1991.47,2837.07,7204.472
2014-09-27,1439.15,1783.09,2033.06,51.25,90.03,553.86,167.22,457.53,1723.4,3126.97,6101.659
2014-09-28,999.73,1428.89,1814.87,49.91,74.51,540.42,256.46,336.89,1629.87,2972.49,5068.25
2014-09-29,1188.23,1165.66,1405.78,48.69,66.42,414.31,415.7,420.51,1521.57,2649.12,6505.143
2014-09-30,1234.37,1272.46,1419.18,47.34,58.17,255.29,269.3,530.08,1287.62,2390.56,8271.159
2014-10-01,1195.07,1291.63,1449.63,45.49,52.95,135.81,274.97,385.75,1149.79,2251.83,11977.392
2014-10-02,1170.54,1250.2,1397.01,44.91,51.09,76.29,245.07,399.15,1005.12,2135.78,13595.536
2014-10-03,1056.37,1184.81,1380.31,45.06,50.74,78.59,252.96,370.42,955.6,1954.98,12705.008
2014-10-04,910.1,1106.32,1297.02,0,49.75,73.84,151.76,371.57,914.69,1787.6,12694.141
2014-10-05,823.01,970.81,1217.26,0,48.44,74.97,149.35,279.85,880.37,1689.58,12629.714
2014-10-06,858.99,885.18,1108.15,0,46.62,75.29,338.14,269.11,856.68,1619.52,12334.501
2014-10-07,1803.34,1001.38,1093.12,0,104.03,75.26,405.99,511.43,1504.89,1529.54,12414.764
2014-10-08,1814.17,1792.18,1558.82,0,65.96,232.38,335.43,544.19,1268.97,1515.44,13902.864
2014-10-09,1574.18,1759.5,1832.54,0,52.65,312.63,258.16,435.22,1290.66,2009.97,14329.991
2014-10-10,1199.46,1588.16,1689.16,0,48.6,371.46,260.16,378.6,1254.02,2124.31,13395.551
2014-10-11,920.59,1227.19,1497.9,0,45.56,268.48,154.57,368.98,1234.96,2024.14,12812.739
2014-10-12,737.15,996.22,1237.09,0,46.06,337.78,149.65,264.07,1085.43,1928.88,14152.955
2014-10-13,955.23,849.1,1094.08,0,64.5,383.62,353.05,253.82,1200.75,1848.94,15290.509
2014-10-14,1327.4,1043.26,1072.01,0,51.63,308.61,252.64,442.18,1171.44,1674.43,16229.334
2014-10-15,1295.67,1318.13,1351.8,37.93,46.72,279.4,206.95,326.94,1072.42,1664.02,17042.256
2014-10-16,1412.6,1349.68,1412.02,36.95,43.49,278.6,202.97,294.9,1037.09,1740.39,17663.096
2014-10-17,1526.41,1478.01,1460.98,36.26,41.5,145.79,204.72,290.34,996.85,1681.35,18843.695
2014-10-18,1041.04,1541.52,1525.33,36.02,39.64,93.58,143.72,286.27,799.26,1584.56,17976.598
2014-10-19,630.08,1042.47,1377.36,35.67,38.43,94.15,140.42,222.12,770.62,1511.84,17612.072
2014-10-20,809.33,760.62,995.36,35.42,37.46,97.77,276.61,213.83,750.62,1375.77,17691.282
2014-10-21,855.98,879.85,932.85,34.67,36.02,99.44,141.14,325.99,728.62,1258.4,18175.068
2014-10-22,622.6,858.77,1036.65,34.36,34.78,112.4,196.27,210.99,714.13,1165.58,19094.558
2014-10-23,693.9,712.83,895.11,33.87,33.93,202.05,136.86,243.81,726.54,1168.58,19208.243
2014-10-24,699.61,778.54,847.6,32.96,32.61,246.69,134.83,183.85,788.99,1120.35,19101.265
2014-10-25,546.22,811.02,873.9,32.88,31.02,252.89,132.74,175.97,785.66,1073.47,19030.767
2014-10-26,400.93,669.73,881.06,32.08,30.11,230.11,132.08,170.62,778.12,1094.37,18659.581
2014-10-27,432.81,536,691.68,33.34,30.4,302.91,134.93,179.25,799.9,1069.07,17698.231
2014-10-28,601.18,559.49,638.31,33.28,33.55,235.58,161.51,196.08,876.02,1045.99,17468.449
2014-10-29,659.53,670.01,710.52,32.61,31.41,239.18,131.77,213.49,794,1051.2,17095.931
2014-10-30,782.84,722.99,760.65,31.27,29.27,238.3,129.63,182.05,760.4,1116.87,16877.817
2014-10-31,579.51,795.32,813.83,30.79,27.79,238.55,128.47,173.56,736.65,1103.46,16016.636
2014-11-01,544.1,651.66,795.45,34.35,31.32,383.79,132.05,165.84,770.71,1055.74,15383.66
2014-11-02,574.52,647.02,718.89,31.71,36.4,298.85,130.45,177.95,1065.55,1010.77,15456.852
2014-11-03,565.41,657.7,712.84,30.72,30.52,165.38,129.42,173.33,725.91,1027.5,15350.666
2014-11-04,470.18,650.95,726.3,29.75,28.18,200.59,128.5,170.13,658.95,1171.71,15320.382
2014-11-05,464.55,570.17,685.82,28.96,27.13,183.29,118.96,150.27,677.51,1058.9,15318.263
2014-11-06,1149.38,566.15,573.54,25.01,25.6,129.5,93.03,144.83,607.39,940.17,15284.718
2014-11-07,1212.18,1082.03,848.61,26.97,24.3,138.81,90.82,115.79,545.84,897.9,15348.316
2014-11-08,823.39,1151.36,1099.25,26.14,23.1,158.08,82.82,111.2,549.25,842.05,16518.513
2014-11-09,455.53,789.35,1004.82,25.96,21.88,166.45,81.99,101.14,540.78,768.88,17295.843
2014-11-10,387.14,534.02,642.81,24.73,20.35,172.17,81.03,90.06,535.01,697.93,17253.889
2014-11-11,301.73,436.03,529.6,23.49,19.03,147.5,80.8,88.69,525.65,666.35,16909.946
2014-11-12,310.71,366.32,447.84,22.66,18.51,122.08,79.28,94.75,481.57,646.44,17027.667
2014-11-13,309.07,394.84,420.52,23,18.1,119.49,78.56,93.46,459.93,626.83,17316.391
2014-11-14,297.84,391.38,425.17,22.47,17.38,136.19,78.85,89.9,453.53,597.06,16444.792
2014-11-15,310.04,380.35,413.62,23.83,17.51,141.19,79.08,89.91,462.11,565.49,16185.02
2014-11-16,394.57,443.15,435.74,48.62,69.13,357.62,99.15,103.34,803.8,583.82,15099.004
2014-11-17,522.16,561.32,563.77,29.79,45.82,247.06,148.92,170.96,800.77,615.91,14248.9
2014-11-18,846.32,597.69,533.94,27.03,29.99,181.14,133.13,179.7,681.42,764.37,13198.16
2014-11-19,729.05,862.95,737.09,24.44,25.27,136.58,111.04,161.2,530.91,944.11,12787.36
2014-11-20,842.9,790.47,794.29,23.65,22.13,138.77,90.87,135.97,479.85,917.96,12217.673
2014-11-21,793.09,889.3,774.48,23.44,20.57,146.34,85.93,106.65,477.4,810.78,12830.771
2014-11-22,581.2,831.04,856.41,20.01,18.85,147.06,87.04,81.02,461.52,704.86,15075.107
2014-11-23,506.91,654.97,704.71,21.15,18.09,169.73,87.23,91.05,474.9,634.76,16997.205
2014-11-24,548.91,593.14,603.7,52.34,42.61,310.22,93,97.1,501.44,593.65,16898.731
2014-11-25,400.84,758.8,709.1,50.2,137.37,204.16,97.78,135.41,1155.81,604.1,16144.866
2014-11-26,277.2,603.15,802.54,29.01,41.76,80.68,94.75,134.98,609.83,718.39,15633.313
2014-11-27,343.31,421.56,512.5,26.12,29.27,114.35,89.31,119.16,483.32,1037.74,14022.769
2014-11-28,352.18,426.28,439.06,24.2,25.01,131.68,85.63,110.58,473.58,953.7,12387.813
2014-11-29,282.49,431.91,441.97,23.17,22.79,121.81,77.59,101.91,448.49,759.54,11695.883
2014-11-30,327.28,382.49,422.47,22.53,20.89,91.28,76.05,86.49,419.97,658.61,12013.656
2014-12-01,374.33,403.6,379.7,27.2,19.88,159.63,78.06,73.99,390.65,594.81,13688.513
2014-12-02,415.27,457.94,429.32,27.96,21.54,124.44,76.91,80.81,589.28,546.61,16088.397
2014-12-03,365.39,500.76,487.15,25.39,19.97,103.45,77.54,78.01,436.83,501.48,17633.929
2014-12-04,470.63,564.47,598.71,40.72,197.95,123.46,78,86.52,539.07,539.77,18017.505
2014-12-05,604.89,627.11,706.29,28.17,112.23,252.3,67.83,88.46,532.09,590.92,17069.474
2014-12-06,463.17,724.46,742.82,35.58,182.84,240.83,68.79,85.23,916.04,699.81,15427.064
2014-12-07,776.29,725.9,944.61,42.31,160.53,260.36,121.74,113.87,1074.6,1502.28,13630.987
2014-12-08,1205.4,988.74,803.49,32.97,75.03,227.64,167.81,145.73,1019.01,1461.59,12119.694
2014-12-09,663.85,1188.9,1212.17,29.11,49.09,170.82,151.92,179.89,766.28,1410.04,10917.404
2014-12-10,681.25,791.95,945.06,26.8,38.89,152.57,110.35,168.36,637.94,1315.16,11863.86
2014-12-11,525.33,781.37,773.36,26.61,38.44,152.71,81.82,130.74,588.34,1110.96,13204.288
2014-12-12,481.24,647.06,790.85,24.47,32.2,145.66,62.67,97.26,545.96,943.8,14614.357
2014-12-13,334.13,581.7,640.16,22.69,28.33,131.67,65.93,67.93,493.12,811.24,15655.627
2014-12-14,258.71,457.97,557.1,22.28,26.14,121.71,67.96,50.97,455.78,717.63,16279.238
2014-12-15,339.79,380.73,462.04,22.1,25.32,88.8,70.26,47.82,429.35,631.54,17967.024
2014-12-16,411.57,396.14,412.03,22.68,25.12,68.6,87.37,54.1,383.71,558.94,18783.049
2014-12-17,362.52,471.54,456.21,19.72,23.07,71.8,83.75,63.68,349.43,506.02,20973.144
2014-12-18,334.92,424.55,449.07,19.66,20.57,61.25,68.69,68.54,332.85,459.17,19753.001
2014-12-19,344.94,393.02,405.36,18.95,19.27,64.36,62.9,57.6,302.53,416.41,19118.445
2014-12-20,300.49,392.57,394.17,18,18.54,80.03,64.57,51.04,287.17,379.72,17908.205
2014-12-21,259.55,360.01,394.22,17.5,18.02,82.16,65.13,45.99,290.83,360.24,18046.621
2014-12-22,248.77,312.27,360.48,18.86,17.06,78.79,70.81,48.7,292.9,336.39,18389.219
2014-12-23,305.81,299.55,342.23,21.58,20.22,80.91,82.98,34.68,315.86,319.19,18377.643
2014-12-24,334.56,308.22,331.86,20.67,20.02,89.42,81.41,39.48,334.64,307.21,18693.053
2014-12-25,265.49,361.44,345.09,18.54,17.38,89.13,79.12,45.97,320.99,306.54,19908.195
2014-12-26,231.73,296.2,346.78,16.7,15.46,88.16,81.23,55.76,287.16,307.02,20498.276
2014-12-27,260.28,250.86,281.76,14.83,14.52,88.15,79.6,56.17,259.17,300.64,19301.608
2014-12-28,237.21,223.88,246.34,14.1,14.43,88,81.25,53.22,248.52,289.86,18361.67
2014-12-29,229.63,254.35,251.41,16.39,14.07,87.96,80.88,39.72,244.93,275.59,17192.221
2014-12-30,237.15,260.41,268.92,15.94,13.26,88.99,81.39,46.55,248.95,254.77,16913.256
2014-12-31,437.12,261.64,283.05,15.53,13.18,93,81.43,47.11,250.56,240.12,18629.375
2015-01-01,236.25,405.86,304.3,14.53,12.53,95.1,88.39,43.61,244.72,227.85,19872.319
2015-01-02,383.16,267.96,350.05,14.61,11.6,96.88,87.91,50.91,235.64,217.63,20019.376
2015-01-03,232.81,334.56,270.02,10.27,10.85,97.5,85.97,39.21,213.98,216.56,19543.648
2015-01-04,232.44,273.42,299.05,11.36,10.16,96.47,87.18,30.53,195.39,217.86,18529.554
2015-01-05,231.06,237.51,246.01,13.94,9.99,95.42,87.77,41.88,205.55,212.01,18573.02
2015-01-06,396.22,248.76,243.18,13.48,9.24,96.02,87.9,53.59,206.65,196.07,18795.602
2015-01-07,740.96,314.95,246.2,12.77,8.59,96.45,88.71,51.03,211.47,175.46,19180.146
2015-01-08,710.1,657.65,395.71,14.16,8.7,94.32,87.89,54.79,221.34,165.35,17046.833
2015-01-09,810.31,743.54,635.3,20.48,18.94,92.57,72.98,69.39,315.55,182.63,15502.368
2015-01-10,432.65,859.9,748.93,24.77,30.12,102.1,67.95,82.15,369.61,215.57,13820.2
2015-01-11,244.83,616.85,737.74,22.97,41.86,102,57.81,83.92,449.11,273.7,11799.432
2015-01-12,226.25,406.45,495.92,17.61,30.63,96.1,55.12,69.65,382.75,370.21,10659.769
2015-01-13,358.87,346.64,381.27,27.78,75.78,94.68,59.22,55.83,372.3,422.64,10384.128
2015-01-14,884.29,548.53,659.85,35.54,152.48,94.84,58.88,65.64,695,459.88,10426.731
2015-01-15,633.67,905.03,758.97,22.5,61.42,95.22,55.4,79.02,633.65,470.05,10985.435
2015-01-16,299.78,718,887.05,18.32,37.54,95.46,54.09,63.53,487.78,506.66,12524.227
2015-01-17,223.63,464.13,580.9,16.5,26.96,95.86,53.76,54.09,421.41,580.19,15239.258
2015-01-18,209.2,348.73,418.1,15.5,21.94,95.88,53.29,45.64,385.22,542.88,16272.044
2015-01-19,294.58,304.06,347.34,14.84,18.82,92.88,56.81,40.57,356.9,463.28,17220.464
2015-01-20,620.89,310.23,319.88,14.79,17.96,91.66,72.14,33.05,337.06,400.06,17136.04
2015-01-21,681.24,617.22,452.54,18.97,29.88,93.11,74.66,38,402.8,360.11,16668.514
2015-01-22,1047.19,706.91,595.27,16.15,29.5,95.28,72.23,61.13,405.51,350.11,15967.606
2015-01-23,1120.95,1022.63,834.69,15.27,21.77,103.18,74.31,58.63,348.73,337.54,16914.474
2015-01-24,473.09,1111.01,1070.46,15.84,24.56,96.86,72.68,56.07,393.37,336.24,19272.805
2015-01-25,355.67,630.08,830.66,15.34,21.95,94.91,70.34,51.01,383.68,323.04,19473.746
2015-01-26,291.04,472.11,520.92,13.74,18.21,93.11,71.49,45.22,341.3,311.31,18687.776
2015-01-27,275.34,408.48,435.32,13.65,16.41,91.86,70.07,45.75,323,332.78,19486.586
2015-01-28,292.91,339.78,365.08,13.46,15.64,85.85,82.03,28.56,310.14,313.33,19855.208
2015-01-29,354.99,342.53,335.92,13.29,14.67,95.91,93.13,34.3,287.66,278.38,18519.708
2015-01-30,272.23,373.19,335.1,13.58,13.99,105.74,77.72,47.98,289.9,257.23,18063.646
2015-01-31,196.92,366.25,365.1,13.81,14.08,120.74,77.56,53.4,282.58,238.69,17495.588
2015-02-01,191.9,263.26,308.67,14.43,14.02,123.31,78.9,45.18,287.77,217.5,16869.979
2015-02-02,188.55,247.22,255.62,15.02,13.32,124.22,77.85,45.26,306.92,203.88,15970.527
2015-02-03,199.67,235.97,247.97,12.64,12.65,127.5,76.6,45.92,311.41,205.45,15496.772
2015-02-04,257.98,209.44,231.05,11.69,12.31,126.64,78.26,36,296.19,209.32,16693.82
2015-02-05,627.46,233.64,225.1,11.45,11.86,129.82,84.87,32.01,291.26,213.02,17715.831
2015-02-06,1583.73,489.65,251.37,10.99,11.17,131.52,98.7,31.37,279.9,211.35,19059.943
2015-02-07,729.7,1288.41,824.8,7.53,10.6,130.98,112.74,31.85,251.84,203.89,19147.072
2015-02-08,383.14,743.87,947.75,7.46,9.86,130.69,112.6,45.88,248.3,191.39,19239.189
2015-02-09,404,430.2,496.38,9.04,8.88,145.67,113.28,50.49,242.82,178.52,18544.881
2015-02-10,207.84,423.9,412.35,9.95,8.42,164.1,106.63,64.51,273.39,154.26,18278.82
2015-02-11,351.04,279,332.6,10.43,8.26,169.11,96.71,71.05,299.51,140.19,18522.806
2015-02-12,953.6,337.98,266.06,14.1,14.52,168.97,90.92,83,383.93,159.22,17554.215
2015-02-13,1087.73,847.61,545.77,11.05,15.19,170.12,78.65,86.85,355.88,180.95,17262.765
2015-02-14,516.64,1025.35,810.78,18.05,23.27,166.97,80.38,70.88,386.4,226.12,16620.503
2015-02-15,724.97,671.36,855.76,15.97,33.2,168.78,61.15,67.47,440.82,289.41,15287.198
2015-02-16,640.81,746.04,525.55,12.51,24.2,171.27,61.83,61.86,416.38,309.89,13901.142
2015-02-17,264.92,706.07,854.36,11.5,18.16,172.81,62.13,46.96,371.64,326.38,13287.171
2015-02-18,1497,361.51,445.82,11.04,14.08,170.04,77.82,43.58,355.21,338.86,14077.771
2015-02-19,1690.17,1333.99,697.58,12.66,16.24,171.2,78.56,41.62,354.33,323.83,15166.204
2015-02-20,1147.93,1545.7,1355.55,10.58,15,173.43,77.43,49.35,351.57,297.21,15710.751
2015-02-21,446.22,1117.65,1217.27,8.65,12.48,173.41,75.84,47.46,332.37,269.31,15403.24
2015-02-22,907.87,593.83,749.77,8.1,10.88,172.76,78.93,30.5,313.8,256.48,13875.619
2015-02-23,1188.41,897.52,619.65,10.81,10.08,173.73,105.86,26.5,330.01,249.84,13434.407
2015-02-24,343.74,1114.41,1061.29,15.85,12.27,162.79,104.56,67.93,363.56,238.79,13752.076
2015-02-25,235.29,525.46,714.05,11.86,13.48,150.7,95.8,94.77,342.34,240.57,15588.764
2015-02-26,183.78,369.85,440.84,11.27,12.25,149.78,77.98,86.9,327.68,254.36,15776.335
2015-02-27,187.12,275.01,344.36,10.35,11.45,129.53,78.14,70.16,311.17,258.1,14677.944
2015-02-28,175.54,236.58,286.94,7.61,10.34,112.99,80.22,57.39,270.75,272.71,15234.642
2015-03-01,171.82,204.57,246.5,10.86,9.7,112.71,96.2,50.91,258.79,273.35,15175.624
2015-03-02,166.56,193.5,220.96,9.83,9.01,112.07,95.3,47.86,247.62,252.53,15947.794
2015-03-03,217.43,186.94,209.19,9.43,8.55,128.11,93.18,55.43,238.24,220.52,17438.324
2015-03-04,151.5,200.48,195.11,9.1,7.61,138.81,77.87,60.73,250.33,192.85,17691.485
2015-03-05,135.6,202.21,208.57,7.84,6.82,137.21,77.85,55.12,248.41,172.99,19107.087
2015-03-06,134.43,177.39,163.36,8.18,6.68,135.36,81.54,44.03,250.71,158.32,20484.43
2015-03-07,184.91,160.71,161.16,6.48,7.74,136.93,96.24,51.46,252.09,166.6,20152.465
2015-03-08,197.65,146.4,144.72,7.79,8.4,139.59,94.88,47.89,247.57,175.22,19327.121
2015-03-09,207.74,162.06,171.52,10.23,7.9,142.32,95.34,55.9,251.81,174.55,18705.691
2015-03-10,155.38,178.09,183.64,9.91,7.23,144.92,86.62,60.15,251.4,162.53,17822.806
2015-03-11,157.03,190.3,198.27,9.02,6.64,144.83,76.65,66.76,247.17,156.22,17858.152
