Year,eventYears,numAchieved,numEvents,numEventsAll,eventLength,eventLengthAchieved,totalEventDays,totalEventDaysAchieved,maxEventDays,maxRollingEvents,maxRollingAchievement,missingDays,totalPossibleDays,ewrCode,scenario,gauge,pu,State,SWSDLName,Multigauge,rollingMaxInterEvent,rollingMaxInterEventAchieved
1977,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1978,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1979,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1980,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1981,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1982,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1983,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1984,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1985,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1986,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1987,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1988,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1989,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1990,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1991,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1992,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1993,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1994,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1995,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1996,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1997,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1998,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1999,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2000,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2001,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2002,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2003,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2004,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2005,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2006,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2007,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2008,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2009,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2010,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2011,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2012,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2013,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2014,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2015,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2016,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2017,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2018,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2019,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2020,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2021,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
2022,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1889,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,365,1
1890,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,730,1
1891,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,1096,0
1892,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,1461,0
1893,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,1826,0
1894,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,2191,0
1895,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,2557,0
1896,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,2922,0
1897,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,3287,0
1898,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,3652,0
1899,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,4017,0
1900,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,4382,0
1901,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,4747,0
1902,1,3,6,6,10.0,10.0,60,60,10,10,1,0,365,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,4963,0
1903,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,500,1
1904,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FrW3,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,865,0
