site name,gauge number,owner,lat,lon
15Lag24D,120500111,WA - Department of Water and Environmental Regulation,-19.70099075,121.2977348
15Lag24S,120500112,WA - Department of Water and Environmental Regulation,-19.7009954,121.2977036
16 Mile Waterhole,913010A,"QLD - Department of Natural Resources, Mines and Energy",-18.876921,139.360487
163 Clifton Rd,6131318,WA - Department of Water and Environmental Regulation,-32.97808,115.90111
16Lag02I,80100016,WA - Department of Water and Environmental Regulation,-18.05798936,122.6832608
16Lag02S,80100017,WA - Department of Water and Environmental Regulation,-18.05798935,122.6832514
18 Mile Swamp HorseX,144005A,"QLD - Department of Natural Resources, Mines and Energy",-27.49561971,153.5083641
1A,70730101,WA - Department of Water and Environmental Regulation,-21.57539044,115.8818527
2 Metre Drain,609062,WA - Department of Water and Environmental Regulation,-33.22073799,117.8089928
2(NEVER) @ GLENNIFER,205014,NSW - NSW Department of Industry – Lands and Water,-30.3863,152.8814
2.5k ds WellngtnFry,A4261200,"SA - Department of Environment, Water and Natural Resources",-35.35521558,139.3807711
2.6km SE Gawler PO,A5050503,"SA - Department of Environment, Water and Natural Resources",-34.6175,138.769
2.8 km Ballan channel Water Metering Site,CH610,VIC - Barwon Region Water Corporation (Barwon Water),-37.57697066,144.191965
200m ds Chowilla Ck,A4261063,"SA - Department of Environment, Water and Natural Resources",-33.9705,140.8757
21/04 (Site Mb),70912528,WA - Department of Water and Environmental Regulation,-20.68117145,118.2993725
26 Km gauge - Ballan Channel,ME610C,VIC - Barwon Region Water Corporation (Barwon Water),-37.7439403,144.1795251
284,D24,NSW - Hunter Water,-32.74362461,151.9612514
2B,70830103,WA - Department of Water and Environmental Regulation,-21.19442632,116.0764467
2k ds WellingtonFry,A4261159,"SA - Department of Environment, Water and Natural Resources",-35.34786774,139.3875092
2km N Warringee Pt,A4261155,SA - South Australian Water Corporation (SA Water),-35.67660246,139.2502685
2km W Clayton,A4261124,"SA - Department of Environment, Water and Natural Resources",-35.49599307,138.9062796
3 MILE CK WANGARATTA,403249,"VIC - Department of Environment, Land, Water and Planning",-36.33656586,146.2998983
3 Metre Drain,609063,WA - Department of Water and Environmental Regulation,-33.21913409,117.8073576
3 Moon_C Cania Gorge,136107A,"QLD - Department of Natural Resources, Mines and Energy",-24.72364408,151.0079364
300m us R Murrray,A4260641,"SA - Department of Environment, Water and Natural Resources",-34.0656,141.2488
31 Mile Rd,616026,WA - Department of Water and Environmental Regulation,-32.22775864,116.1595331
35 Km gauge - Ballan Channel,ME610B,VIC - Barwon Region Water Corporation (Barwon Water),-37.78346967,144.1979947
37/04 (Site Mm1),70912271,WA - Department of Water and Environmental Regulation,-20.52349064,118.1589559
3km Ds Swan Reach Fr,A4261164,"SA - Department of Environment, Water and Natural Resources",-34.58995549,139.5985104
3km W Pt McLeay,A4261156,SA - South Australian Water Corporation (SA Water),-35.51481282,139.0647519
4.5km WNW Kangarilla,A5030503,"SA - Department of Environment, Water and Natural Resources",-35.1393,138.6074
40A,D21,NSW - Hunter Water,-32.79766496,151.743779
420112 Wingecarribee,420112,NSW - NSW Department of Industry – Lands and Water,-34.539617,150.484435
4L Sub Catchment,614057,WA - Department of Water and Environmental Regulation,-32.8473329,116.1921037
4km East Yundi,A4260504,"SA - Department of Environment, Water and Natural Resources",-35.3236,138.6735
4km W Pomanda Point,A4261158,SA - South Australian Water Corporation (SA Water),-35.42976112,139.2686892
5 Mile Hut,912109A,"QLD - Department of Natural Resources, Mines and Energy",-17.79961111,139.3595556
5km DS Kat Ck Outlet,A4261263,"SA - Department of Environment, Water and Natural Resources",-34.40662676,140.4889902
5km NW Poonindie,A5120500,"SA - Department of Environment, Water and Natural Resources",-34.5704,135.8581
6 Dis.Box Sp06Db,614053,WA - Department of Water and Environmental Regulation,-32.68815895,115.9971628
61615117,61615117,WA - Department of Water and Environmental Regulation,-31.76531657,115.8657829
61615134,61615134,WA - Department of Water and Environmental Regulation,-31.6564,115.997
61615147,61615147,WA - Department of Water and Environmental Regulation,-31.8345291,115.7866984
61615150,61615150,WA - Department of Water and Environmental Regulation,-31.61702708,115.8953748
61615151,61615151,WA - Department of Water and Environmental Regulation,-31.61705762,115.8953594
61615152,61615152,WA - Department of Water and Environmental Regulation,-31.4795382,115.8078347
61615153,61615153,WA - Department of Water and Environmental Regulation,-31.47954727,115.8077791
61615154,61615154,WA - Department of Water and Environmental Regulation,-31.47958855,115.8079551
61615156,61615156,WA - Department of Water and Environmental Regulation,-31.81301768,115.9164204
61615157,61615157,WA - Department of Water and Environmental Regulation,-31.53865041,115.7810985
61615158,61615158,WA - Department of Water and Environmental Regulation,-31.53859834,115.7811052
61615159,61615159,WA - Department of Water and Environmental Regulation,-31.59597446,115.8120308
61615160,61615160,WA - Department of Water and Environmental Regulation,-31.59585719,115.8120659
61615161,61615161,WA - Department of Water and Environmental Regulation,-31.53486319,115.9461775
61615162,61615162,WA - Department of Water and Environmental Regulation,-31.70662622,115.8225663
61615163,61615163,WA - Department of Water and Environmental Regulation,-31.89429576,115.807556
61615164,61615164,WA - Department of Water and Environmental Regulation,-31.76984544,115.7837832
61615165,61615165,WA - Department of Water and Environmental Regulation,-31.76988432,115.783811
61615166,61615166,WA - Department of Water and Environmental Regulation,-31.7914476,115.9782573
61615171,61615171,WA - Department of Water and Environmental Regulation,-31.70662529,115.8224166
61615185,61615185,WA - Department of Water and Environmental Regulation,-31.67628694,115.9053239
61615186,61615186,WA - Department of Water and Environmental Regulation,-31.6762586,115.9053646
61621501,61621501,WA - Department of Water and Environmental Regulation,-31.47367058,115.9568899
61715037,61715037,WA - Department of Water and Environmental Regulation,-31.47549269,115.6836473
61715041,61715041,WA - Department of Water and Environmental Regulation,-31.37592589,115.6905736
61715042,61715042,WA - Department of Water and Environmental Regulation,-31.37592317,115.6905282
61715043,61715043,WA - Department of Water and Environmental Regulation,-31.36237578,115.8119203
61715044,61715044,WA - Department of Water and Environmental Regulation,-31.36233402,115.8119993
61715045,61715045,WA - Department of Water and Environmental Regulation,-31.42200864,115.6218648
61715047,61715047,WA - Department of Water and Environmental Regulation,-31.42647112,115.747703
61715048,61715048,WA - Department of Water and Environmental Regulation,-31.42642439,115.7477589
61715049,61715049,WA - Department of Water and Environmental Regulation,-31.43307722,115.8660953
61715050,61715050,WA - Department of Water and Environmental Regulation,-31.43299048,115.8659373
7/04 (Site My 3/04),71012148,WA - Department of Water and Environmental Regulation,-20.30094891,119.2423497
7A,70830016,WA - Department of Water and Environmental Regulation,-21.88817964,117.6312106
7M Diversion Channel,143223A,"QLD - Department of Natural Resources, Mines and Energy",-27.44527778,152.4322222
7km SE Milang,A4261157,SA - South Australian Water Corporation (SA Water),-35.43726909,139.0398203
8 MILE CK @ MCCRABS,410178,NSW - NSW Department of Industry – Lands and Water,-35.2219,144.7999
8 MILE CK @ W/NELLA,410177,NSW - NSW Department of Industry – Lands and Water,-35.2903,144.8986
8A,70830110,WA - Department of Water and Environmental Regulation,-21.15743258,116.0853444
8Mil,600162,NSW - Snowy Hydro Limited,-35.88833333,148.3716667
8km SW Meningie,A4260569,"SA - Department of Environment, Water and Natural Resources",-35.7318,139.268
9 MILE C U/S GVW DAM,405327,"VIC - Department of Environment, Land, Water and Planning",-36.87688345,145.4746745
9 MILE CK @ COADS RD,407285,"VIC - Department of Environment, Land, Water and Planning",-35.89600307,143.9956207
9 MILE SERP.OFFTAKE,407289,"VIC - Department of Environment, Land, Water and Planning",-36.09771026,143.9242234
9A,70730110,WA - Department of Water and Environmental Regulation,-21.50559623,115.8476365
A18,70118118,WA - Department of Water and Environmental Regulation,-29.11737115,115.0027677
A7,70118122,WA - Department of Water and Environmental Regulation,-29.16731353,115.0474768
ABERCROMBIE @ ABER#2,41200209,NSW - NSW Department of Industry – Lands and Water,-33.95647873,149.3158868
ABERCROMBIE @ ABERCR,412028,NSW - NSW Department of Industry – Lands and Water,-33.9547,149.3251
ABERCROMBIE HADLEY 2,412066,NSW - NSW Department of Industry – Lands and Water,-34.1139,149.5967
ABERFELDY @BEARDMORE,225213,"VIC - Department of Environment, Land, Water and Planning",-37.85381845,146.4331719
ABERFELDY BEARDMORE,225213A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.85387,146.43303
ABERFELDY BEARDMORES,225213A,VIC - Melbourne Water Corporation (Melbourne Water),-37.8552,146.433
ABERFELDY US LILY CK,225100A,VIC - Melbourne Water Corporation (Melbourne Water),-37.7162,146.392
ABERFOYLE@ ABERFOYLE,204030,NSW - NSW Department of Industry – Lands and Water,-30.2587,152.0094
AC 10B,70118242,WA - Department of Water and Environmental Regulation,-28.95634548,115.2055612
AC 11B,70118244,WA - Department of Water and Environmental Regulation,-28.91434112,115.2093554
AC 12A,70118245,WA - Department of Water and Environmental Regulation,-28.9325756,115.2652532
AC 13A,70118247,WA - Department of Water and Environmental Regulation,-28.92623163,115.3077703
AC 14A,70118249,WA - Department of Water and Environmental Regulation,-28.84856732,115.182342
AC 15A,70118251,WA - Department of Water and Environmental Regulation,-28.80731369,115.250226
AC 1A,70118223,WA - Department of Water and Environmental Regulation,-28.9402312,114.9850189
AC 1B,70118224,WA - Department of Water and Environmental Regulation,-28.94026445,114.9850706
AC 2A,70118225,WA - Department of Water and Environmental Regulation,-28.97055021,115.0290186
AC 2B,70118226,WA - Department of Water and Environmental Regulation,-28.97059816,115.0290269
AC 3A,70118227,WA - Department of Water and Environmental Regulation,-29.01698305,115.0954985
AC 3B,70118228,WA - Department of Water and Environmental Regulation,-29.01701966,115.0955348
AC 4A,70118229,WA - Department of Water and Environmental Regulation,-29.05117459,115.1688831
AC 4B,70118230,WA - Department of Water and Environmental Regulation,-29.05125761,115.1688837
AC 5A,70118231,WA - Department of Water and Environmental Regulation,-29.08098181,115.2650258
AC 5B,70118232,WA - Department of Water and Environmental Regulation,-29.08105739,115.2650091
AC 6A,70118233,WA - Department of Water and Environmental Regulation,-29.0004836,115.1816573
AC 6B,70118234,WA - Department of Water and Environmental Regulation,-29.00056033,115.1816591
AC 7A,70118235,WA - Department of Water and Environmental Regulation,-29.00005828,115.2650418
AC 7B,70118236,WA - Department of Water and Environmental Regulation,-29.00000408,115.2650376
AC 8A,70118237,WA - Department of Water and Environmental Regulation,-29.03192708,115.339758
AC 8B,70118238,WA - Department of Water and Environmental Regulation,-29.03192444,115.3398361
AC 9A,70118239,WA - Department of Water and Environmental Regulation,-28.90683972,115.0813403
ACHERON @ TAGGERTY,405209,"VIC - Department of Environment, Land, Water and Planning",-37.31772866,145.7128865
ADEKATE @ CRESWICK,407238A,VIC - Central Highlands Water,-37.44433032,143.9494445
ADEKATE @ CRESWICK,407238,"VIC - Department of Environment, Land, Water and Planning",-37.44433032,143.9494445
ADELONG @ BATLOW RD,410061,NSW - NSW Department of Industry – Lands and Water,-35.3323,148.0685
ADELONG CK @ TUMBLON,410198,NSW - NSW Department of Industry – Lands and Water,-35.1378,148.0076
ADJUNGBILLY D'BALARA,410038,NSW - NSW Department of Industry – Lands and Water,-35.0177,148.2469
AGNES @ TOORA,227211,"VIC - Department of Environment, Land, Water and Planning",-38.6399743,146.3724776
AGROFORESTRY SITE,233250,"VIC - Department of Environment, Land, Water and Planning",-38.4480865,143.7313122
AIRE @ BEECH FOREST,235209,"VIC - Department of Environment, Land, Water and Planning",-38.66849499,143.5812749
AIRE @ WYELANGTA,235219,"VIC - Department of Environment, Land, Water and Planning",-38.7031718,143.4772919
AK1 Pipe,809325,WA - Department of Water and Environmental Regulation,-16.68911803,128.3878516
ALBERT @ HIAWATHA,227216,"VIC - Department of Environment, Land, Water and Planning",-38.5274,146.4707
ALDERMAN @ ROAD 33,229650B,VIC - Melbourne Water Corporation (Melbourne Water),-37.7216,145.94
ALDGATE CK @ Aldgate Rly Station,A5030509.1,SA - South Australian Water Corporation (SA Water),-35.01482541,138.7315543
ALLANS RIVULET U/S TARANNA,2216.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-43.07276412,147.8916381
ALLENVALE RES H.G.,235256,"VIC - Department of Environment, Land, Water and Planning",-38.53793069,143.9449143
ALLYN @ FLYINGFOX LN,210143,NSW - NSW Department of Industry – Lands and Water,-32.5165844,151.584259
ALLYN RIVER @ HALTON,210022,NSW - NSW Department of Industry – Lands and Water,-32.3063,151.5129
ALUM@JONES PLAIN RD,41000271,NSW - NSW Department of Industry – Lands and Water,-35.99978351,148.951692
AM20B,61672159,WA - Department of Water and Environmental Regulation,-31.6456,115.7057
AM20C,61672164,WA - Department of Water and Environmental Regulation,-31.6456,115.7056
AM23B,61615172,WA - Department of Water and Environmental Regulation,-31.6876059,115.7272211
AM23C,61615173,WA - Department of Water and Environmental Regulation,-31.68756349,115.7272024
AM27C,61615182,WA - Department of Water and Environmental Regulation,-31.76980684,115.7837558
AM29B,61672192,WA - Department of Water and Environmental Regulation,-31.71170777,115.9683701
AM29C,61672193,WA - Department of Water and Environmental Regulation,-31.71170854,115.9684651
AM32Y,61615132,WA - Department of Water and Environmental Regulation,-31.86588079,115.7635466
AM34B,61672162,WA - Department of Water and Environmental Regulation,-31.86719577,115.8874334
AM34C,61672163,WA - Department of Water and Environmental Regulation,-31.86719661,115.8875285
AM36D,61672218,WA - Department of Water and Environmental Regulation,-31.89422568,115.8074913
AM38B,61672230,WA - Department of Water and Environmental Regulation,-31.91207067,115.9900865
AM39A,61672215,WA - Department of Water and Environmental Regulation,-31.9738,115.7795
AMPHITHEATRE RES. HG,408216A,VIC - Central Highlands Water,-37.17323546,143.3774979
ANABRANCH AT TARA DO,425054,NSW - NSW Department of Industry – Lands and Water,-33.92777778,141.7419444
ANABRANCH D/S 183,425053,NSW - NSW Department of Industry – Lands and Water,-33.44694427,141.8050002
ANABRANCH U/S 183,425052,NSW - NSW Department of Industry – Lands and Water,-33.44694444,141.805
ANABRANCH@OFFTAKE,425050,NSW - NSW Department of Industry – Lands and Water,-32.8830555,142.3538888
ANDERSONS CREEK U/S KELSO ROAD,18200.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-41.166966,146.77123
ANGELS CREEK,2122323,NSW - NSW Department of Industry – Lands and Water,-34.360867,150.849022
ANGLESEA @ ANGLESEA,235222,"VIC - Department of Environment, Land, Water and Planning",-38.38602485,144.1774815
ANGLESEA R GR OCEAN,235278,"VIC - Department of Environment, Land, Water and Planning",-38.40507409,144.1861279
ANGLESEA RIVER (MARSHY CREEK) @ ALCOA,235260,"VIC - Department of Environment, Land, Water and Planning",-38.3896916,144.1729888
ANGLESEA RIVER @ GUMFLATS ROAD,235277,"VIC - Department of Environment, Land, Water and Planning",-38.34561177,144.1482882
ANGLESEA SWAMP @ VEGETATION SITE P7 TRANSECT,235280,"VIC - Department of Environment, Land, Water and Planning",-38.35777475,144.1720687
ANGLESEA WETLANDS @ ALLARDYLE TRACK,235272,"VIC - Department of Environment, Land, Water and Planning",-38.38182838,144.1727113
ANSONS RIVER DS BIG BOGGY CK,2214.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-41.046377,148.21736
ANTIENE CK @ LIDDELL,210076,NSW - NSW Department of Industry – Lands and Water,-32.33624808,150.9824133
APSLEY APSLEY FALLS,206018,NSW - NSW Department of Industry – Lands and Water,-31.0504,151.7691
APSLEY APSLEY GORGE,206033,NSW - NSW Department of Industry – Lands and Water,-30.9701,152.0094
APSLEY RIVER U/S COLES BAY RD,2204.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-41.93890667,148.2368504
AQUARIUM AVE HEMMANT,BMA591,QLD - Brisbane City Council,-27.4394,153.1266
ARALUEN @ NERINGLA,217006,NSW - NSW Department of Industry – Lands and Water,-35.6568,149.807
ARDMONA @ RETARDING,405721,"VIC - Department of Environment, Land, Water and Planning",-36.32350531,145.2962241
ARDMONA MD RETARDING,405753,"VIC - Department of Environment, Land, Water and Planning",-36.34970014,145.2949291
ARKINS @ WYELANGTA,235205,"VIC - Department of Environment, Land, Water and Planning",-38.63955922,143.4431397
ARM RIVER - ABOVE MERSEY,624.1,TAS - Hydro-electric Corporation (Hydro Tasmania),-41.68944444,146.2155
ARMSTRONG CREEK EAST,229107,"VIC - Department of Environment, Land, Water and Planning",-37.63833333,145.8666667
ARMSTRONG U/S WEIR,229104C,VIC - Melbourne Water Corporation (Melbourne Water),-37.6334,145.862
ARMY CAMP ROAD RB,229628A,VIC - Melbourne Water Corporation (Melbourne Water),-37.68027054,144.9365053
ARTHUR RIVER BELOW RAPID RIVER,159.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-41.122323,145.07864
ARTHURS C-ARTHURS CK,229620A,VIC - Melbourne Water Corporation (Melbourne Water),-37.58197598,145.2062307
ARTHURS CK-NUTFIELD,229272A,VIC - Melbourne Water Corporation (Melbourne Water),-37.598,145.183
ARTHURS LAKE - AT PUMP STATION,418.1,TAS - Hydro-electric Corporation (Hydro Tasmania),-41.98830556,146.8624722
ATTADALE CK RUNAWAY,A2390546,SA - South Eastern Water Conservation and Drainage Board,-37.12921267,140.9490237
AUGUSTA LAKE - AT INTAKE,155.1,TAS - Hydro-electric Corporation (Hydro Tasmania),-41.84444444,146.5722222
AUSTIN ROAD,228715A,VIC - Melbourne Water Corporation (Melbourne Water),-38.1054152,145.135706
AVOCA @ AMPHITHEATRE,408202,"VIC - Department of Environment, Land, Water and Planning",-37.18202767,143.4055621
AVOCA @ ARCHDALE,408206,"VIC - Department of Environment, Land, Water and Planning",-36.88473812,143.5030939
AVOCA @ CHARLTON,408212,"VIC - Department of Environment, Land, Water and Planning",-36.25380216,143.3774657
AVOCA @ QUAMBATOOK,408203,"VIC - Department of Environment, Land, Water and Planning",-35.90616922,143.5121865
AVOCA @SANDHILL L RD,408209,"VIC - Department of Environment, Land, Water and Planning",-35.73397305,143.6846113
AVOCA R @ CHARLTON T,408219,"VIC - Department of Environment, Land, Water and Planning",-36.267109,143.34874
AVOCA R @ COONOOER,408200,"VIC - Department of Environment, Land, Water and Planning",-36.43809,143.29839
AVOCA R O/F TRESCO,408213,"VIC - Department of Environment, Land, Water and Planning",-35.47242435,143.6805991
AVON @ CHANNEL,225224,"VIC - Department of Environment, Land, Water and Planning",-37.80184085,146.8849073
AVON @ CHANNEL,225224A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.80184085,146.8849073
AVON @ STRATFORD,225201,"VIC - Department of Environment, Land, Water and Planning",-37.9685868,147.0760061
AVON @ STRATFORD,225201A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.9685868,147.0760061
AVON D/S WAUKIVORY,208028,NSW - NSW Department of Industry – Lands and Water,-32.04258776,151.9677898
AVON R @ CHINN'S BR,225234B,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-38.0238042,147.1736143
AVON R @ CHINN'S BR,225234,"VIC - Department of Environment, Land, Water and Planning",-38.0238042,147.1736143
AVON R @WIMMERA HWY,415220,"VIC - Department of Environment, Land, Water and Planning",-36.64058,142.97865
AVON R. @ AVON WEIR,212210,NSW - NSW Department of Industry – Lands and Water,-34.33968181,150.6503911
AVON U/S VALENCIA C,225255A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.8216,146.981
AVON U/S VALENCIA C,225255,"VIC - Department of Environment, Land, Water and Planning",-37.8216,146.981
AVON@ D/S WENHAM BDG,208033,NSW - NSW Department of Industry – Lands and Water,-32.10632607,151.9464275
AXE @ LONGLEA,406214,"VIC - Department of Environment, Land, Water and Planning",-36.77349188,144.4281046
AXE @STRATHFIELDSAYE,406262,"VIC - Department of Environment, Land, Water and Planning",-36.81091716,144.3912111
AXE CK @ SEDGEWICK,406216,"VIC - Department of Environment, Land, Water and Planning",-36.89687871,144.355601
"Abbotsfield Res, SCADA Probes",GLR1.GLR1TK01,TAS - TasWater,-42.79,147.22
Abergowrie College,116006A,"QLD - Department of Natural Resources, Mines and Energy",-18.49,145.8936111
Abernethy Rd,616087,WA - Department of Water and Environmental Regulation,-31.94828296,115.9193194
Acacia C,G8170085,NT - Department of Environment and Natural Resources,-12.78464401,131.1223638
Acacia Place,616134,WA - Department of Water and Environmental Regulation,-32.04119316,115.9237682
Accom_Ck Wallaces,416320A,"QLD - Department of Natural Resources, Mines and Energy",-28.808186,151.836363
Adam Road,611195,WA - Department of Water and Environmental Regulation,-33.35754954,115.6390904
Addlington Ck at Ewen Maddock Dam HW,141012A,QLD - Queensland Bulk Water Supply Authority (Seqwater),-26.779,153.009
Adelaide DS Daly Rd,G8170008,NT - Department of Environment and Natural Resources,-13.41713851,131.0848862
Adelaide Railway Bg,G8170002,NT - Department of Environment and Natural Resources,-13.24148361,131.1086329
Adelaide US Marrakai,G8170005,NT - Department of Environment and Natural Resources,-12.94855498,131.2704233
Adj Barker Knoll,A4261039,"SA - Department of Environment, Water and Natural Resources",-35.5585,138.9003
Agate_Ck Cave Ck Jn,917005A,"QLD - Department of Natural Resources, Mines and Energy",-18.93247222,143.4689167
Aitcheson St East,BNA764,QLD - Brisbane City Council,-27.58712585,152.8641853
Albert R Beaud Pump,145105A,"QLD - Department of Natural Resources, Mines and Energy",-28.00224722,153.0628139
Albert R Lumeah,145101D,"QLD - Department of Natural Resources, Mines and Energy",-28.054207,153.044584
Albert R at Nindooinbah Dam HW,145108A,QLD - Queensland Bulk Water Supply Authority (Seqwater),-27.996,153.031
Albert_R Berrempa,145101B,"QLD - Department of Natural Resources, Mines and Energy",-28.05666667,153.0438889
Albert_R Bromfleet,145102B,"QLD - Department of Natural Resources, Mines and Energy",-27.909154,153.106498
Albert_R Kerry,145101A,"QLD - Department of Natural Resources, Mines and Energy",-28.0675,153.0416667
Albert_R Lumeah No1,145101C,"QLD - Department of Natural Resources, Mines and Energy",-28.06222222,153.0405556
Albert_R Mundoolun,145102A,"QLD - Department of Natural Resources, Mines and Energy",-27.90222222,153.0975
Albert_R Pump Stn 1,145105B,"QLD - Department of Natural Resources, Mines and Energy",-28.002069,153.062911
Albert_R Wolffdene,145196A,"QLD - Department of Natural Resources, Mines and Energy",-27.78305556,153.1897222
Alcoa Dam Overflows,614034,WA - Department of Water and Environmental Regulation,-32.65009725,115.9320152
Aldgate Ck/Mylor,A5030516,SA - Department of Primary Industries and Regions (SA),-35.0394,138.7605
Alehvale,916003A,"QLD - Department of Natural Resources, Mines and Energy",-18.2774,142.3396
Algebuckina WH,A0041006,"SA - Department of Environment, Water and Natural Resources",-27.8916,135.8291
Alguchina WH,A0051003,"SA - Department of Environment, Water and Natural Resources",-27.19883469,135.8194064
Alice_R  Barcaldine,003302A,"QLD - Department of Natural Resources, Mines and Energy",-23.64791,145.21535
Allanooka A11,70118111,WA - Department of Water and Environmental Regulation,-29.07089388,115.0653194
Allanooka A12,70118112,WA - Department of Water and Environmental Regulation,-29.08310773,115.0476388
Allanooka A9,70118109,WA - Department of Water and Environmental Regulation,-29.03422644,115.0111669
Allanooka P 1-83,70118180,WA - Department of Water and Environmental Regulation,-29.08751731,115.0087873
Allanooka P 4-82,70118179,WA - Department of Water and Environmental Regulation,-29.08700127,115.0288284
Allen Reservoir,RE931,VIC - Barwon Region Water Corporation (Barwon Water),-38.53766741,143.9448758
Alligator Allendale,118106A,"QLD - Department of Natural Resources, Mines and Energy",-19.38660556,146.9579389
Alligator_C Williams,126005A,"QLD - Department of Natural Resources, Mines and Energy",-21.36416667,149.1525
Allungra C WH,G0280004,NT - Department of Environment and Natural Resources,-22.69093,133.62847
Alpin_Ck Raleigh,416313A,"QLD - Department of Natural Resources, Mines and Energy",-28.90305728,151.2716636
Am19A,61621502,WA - Department of Water and Environmental Regulation,-31.56785399,116.0019543
Am26D,61622199,WA - Department of Water and Environmental Regulation,-31.65560469,115.998567
Am26F,61622198,WA - Department of Water and Environmental Regulation,-31.65549468,115.998563
Am35B,61617258,WA - Department of Water and Environmental Regulation,-31.85328144,115.9748934
Am35C,61617259,WA - Department of Water and Environmental Regulation,-31.8532229,115.974895
Amamoor_Ck Forest St,138102B,"QLD - Department of Natural Resources, Mines and Energy",-26.36726533,152.6221756
Amamoor_Ck U.Amamoor,138102A,"QLD - Department of Natural Resources, Mines and Energy",-26.36927348,152.6133984
Amamoor_Ck Zachari,138102C,"QLD - Department of Natural Resources, Mines and Energy",-26.3654542,152.6201768
Amarillup Swamp,603172,WA - Department of Water and Environmental Regulation,-34.69672184,117.3012361
Amax Pool,806002,WA - Department of Water and Environmental Regulation,-14.87501855,125.8333132
Amoonguna,G0060040,NT - Department of Environment and Natural Resources,-23.7641562,133.9174698
Anaconda Drive,616092,WA - Department of Water and Environmental Regulation,-32.07835523,115.9787991
Analysers,GOS.GOSTE11,TAS - TasWater,-42.86691421,147.244582
Anderson Farm,602005,WA - Department of Water and Environmental Regulation,-34.88956867,118.0077513
Andrews Farm,A5050540,"SA - Department of Environment, Water and Natural Resources",-34.6759,138.6625
Angas R Ds Willyaro,A4261101,SA - South Australian Murray-Darling Basin Natural Resource Management Board,-35.2797,138.9177
Angas R/Angas Plains,A4260629,"SA - Department of Environment, Water and Natural Resources",-35.3275,138.9968
Angas R/Angas Weir,A4260503,"SA - Department of Environment, Water and Natural Resources",-35.2273,138.8566
